Company,Phone,Website,Email,Street,City,Lead Source,Rating
ARC ELECTRONICS AND FURNITURES,09080541970,,,"No.R-64/1A, By pass Road, near Old Collector Office Road, Ma. Po. Si. Nagar, Kakkalur, Tiruvallur, Tamil Nadu 602001","Thiruvallur, Tamil Nadu",Google Maps Lead Generator,D
PR Furnitures,09445044034,http://prfurnitures.com/,sales@prfurnitures.com,"Sriperumbudhur High Road, Venkathur, Manavalanagar, Tamil Nadu 602002","Thiruvallur, Tamil Nadu",Google Maps Lead Generator,D
Emima furniture,09176631921,,,"SPH MAIN ROAD, Kumaran Nagar, Manavalanagar, Venkathur, Tamil Nadu 602002","Thiruvallur, Tamil Nadu",Google Maps Lead Generator,D
"Darling Retail - Electronics, Mobile, Furniture & Solar Shop - Tiruvallur",08220864444,https://darlingretail.com/,,"390, Avadi Bye Pass Road, TNHB Rd, Kakkalur, Tamil Nadu 602001","Thiruvallur, Tamil Nadu",Google Maps Lead Generator,D
Freelook furniture,,,,"861, Chennai Tiruvallur High Rd, TNHB, Ma. Po. Si. Nagar, Kakkalur, Tamil Nadu 602001","Thiruvallur, Tamil Nadu",Google Maps Lead Generator,D
Damro Furniture Kanchipuram,04447203646,https://damroindia.com/,,"No. 43A, Vallal Pachaiyappan St, Pillaiyarpalayam, Kanchipuram, Tamil Nadu 631501","Kanchipuram, Tamil Nadu",Google Maps Lead Generator,D
MAHARAJA FURNITURE,09786111500,,,"Moongil mandapam, 21, Vallal Pachaiyappan St, Moongilmandapam, Kanchipuram, Tamil Nadu 631501","Kanchipuram, Tamil Nadu",Google Maps Lead Generator,D
KP Furniture - Steel & Wooden Furniture,08220800299,,,"36, Sheikpet N St, Ennaikaran, Kanchipuram, Tamil Nadu 631501","Kanchipuram, Tamil Nadu",Google Maps Lead Generator,D
Kumaran Furniture and Electronics,09944339987,,,"2, Vandavasi Rd, opp. to indra petrol bunk, near collector office, Pallavan Nagar, Gem Nagar, Kanchipuram, Tamil Nadu 631501","Kanchipuram, Tamil Nadu",Google Maps Lead Generator,D
Alankar Furnitures,08637604052,,,"No 9 To 12, Uthramerur Main Rd, Sivapuram, Kanchipuram, Tamil Nadu 631502","Kanchipuram, Tamil Nadu",Google Maps Lead Generator,D
Shopping King,09952280639,,,"330, Gandhi Rd, near Indian Coffee House, Ennaikaran, Kanchipuram, Tamil Nadu 631501","Kanchipuram, Tamil Nadu",Google Maps Lead Generator,D
Saravana & Co Kanchipuram,06384411450,http://kanchisaravana.online/,,"No: 52, Vallal Pachaiyappan St, Thiruveethipallam, Kanchipuram, Tamil Nadu 631501","Kanchipuram, Tamil Nadu",Google Maps Lead Generator,D
BHARATHI FURNITURE WORLD,,,,"RP9C+W38, Nethaji Nagar, Arappanacheri, Kanchipuram, Tamil Nadu 631501","Kanchipuram, Tamil Nadu",Google Maps Lead Generator,D
FATHIMA FURNITURES AND HOME APPLIANCES-Wakefit Authorized Dealer Store-CHENGALPATTU,09894272772,https://wakefit.co/,,"89, NA, GST Rd, Chengalpattu, Tamil Nadu 603001","Chengalpattu, Tamil Nadu",Google Maps Lead Generator,D
bawaa furn furniture in chengalpattu,08508642370,https://bawaafurn.netlify.app/,,"Old No. 1A, R.V. Street, 2 - New No. 51/2, Church Road, near LIC, Guntur, Chengalpattu, Gokulapuram, Tamil Nadu 603001","Chengalpattu, Tamil Nadu",Google Maps Lead Generator,D
Bagawaan furniture,09444854445,,,"No.9, GST Rd, near KCC bank, Vedachalam Nagar, vedhacalanagar, Chengalpattu, Gokulapuram, Tamil Nadu 603001","Chengalpattu, Tamil Nadu",Google Maps Lead Generator,D
Zionocies furniture &electronics shop,08015941431,,,"5/42a, Old GST Rd, Municipal Colony, Anumanthaputheri, Chengalpattu, Tamil Nadu 603002","Chengalpattu, Tamil Nadu",Google Maps Lead Generator,D
Royal furniture,,,,"No.70/2b, Mc andaramanricemill, Thiruporur Rd, Alapakkam, Vallam, Tamil Nadu 603003","Chengalpattu, Tamil Nadu",Google Maps Lead Generator,D
"Sathya Store, Electronics & Furniture",04427427070,,,"MXMM+RJ9, Anna Nagar, Chengalpattu, Tamil Nadu 603001","Chengalpattu, Tamil Nadu",Google Maps Lead Generator,D
New Teak N OAK Furniture Chengalpattu,,,,"1st floor, 89, TKM Rd, Alapakkam, Melamaiyur, Chengalpattu, Tamil Nadu 603003","Chengalpattu, Tamil Nadu",Google Maps Lead Generator,D
Rathna Stores (Chengalpattu) - Pathira Kadai | Stainless Steel Vessels | Utensils and Home Appliances,09514011212,https://rathnastores.in/,,"No 254/B, TKM Rd, Sakthi Nagar, Thenur, Melamaiyur, Chengalpattu, Tamil Nadu 603003","Chengalpattu, Tamil Nadu",Google Maps Lead Generator,D
NEW GOKUL G ENTERPRISE,09750648256,,,"65, T.K.M Rd, Nenmeli, Chengalpattu, Nemmeli, Tamil Nadu 603003","Chengalpattu, Tamil Nadu",Google Maps Lead Generator,D
Woodlux Furniture Zone,09003583294,,,"315, Katpadi Main Road Viruthampet, near Old Palar Bridge, Katpadi, Vellore, Tamil Nadu 632006","Vellore, Tamil Nadu",Google Maps Lead Generator,D
N R K FURNITURES,08940999023,,,"43/1 Balu nagar, Old Palar Brg, Vellore, Tamil Nadu 632006","Vellore, Tamil Nadu",Google Maps Lead Generator,D
Royaloak Furniture Vellore,07539955526,http://www.royaloakindia.com/,customercare@royaloakindia.com,"No 117/1B Indira Nagar Near Theerthagiri Kovil Chennai Bangalore, Highway, Perumugai, Tamil Nadu 632009","Vellore, Tamil Nadu",Google Maps Lead Generator,D
AMS Furnitures & Interiors,08883823744,,,"no.245, Vellore to Chennai NH, opposite to DMART, Pudhu, Sathuvachari, Vasur, Vellore, Tamil Nadu 632009","Vellore, Tamil Nadu",Google Maps Lead Generator,D
Masila Furniture,09443032478,,,"20, Perumal Kovil Rd, Mottur, Viruthampattu, Vellore, Tamil Nadu 632006","Vellore, Tamil Nadu",Google Maps Lead Generator,D
Fivea - Furniture Showroom in Vellore ஃபிவ்யா,08248843915,https://www.fivea.in/,,"1st Floor, Landmark :, S F No. , D No.15, Palar Salai, near OLA Bike Showroom, Virthampet, Katpadi, Vellore, Tamil Nadu 632006","Vellore, Tamil Nadu",Google Maps Lead Generator,D
Geetha Woods & Furnitures,07508881111,,,"No. 9/C1, Dharmaraja Kovil St, Thottapalayam, Vellore, Tamil Nadu 632004","Vellore, Tamil Nadu",Google Maps Lead Generator,D
KAMALAM FURNITURES,,,,"98, Vellore Main Road, opposite New Aascar Theatre, Suthanthira Ponvizha Nagar, Bharathi Nagar, Katpadi, Vellore, Tamil Nadu 632007","Vellore, Tamil Nadu",Google Maps Lead Generator,D
NOOR FURNITURE MART,09344544488,,,"41, Chunnambukara St, Sripuram, Saidapet, Vellore, Tamil Nadu 632004","Vellore, Tamil Nadu",Google Maps Lead Generator,D
The Sleep Company Experience Store - Kompally,07304417550,https://thesleepcompany.in/pages/mattress-store-in-kompally?utm_source=locator&utm_medium=googleplaces,,"Besides - D Mart, 1-076/2, NCL Enclave South, Canton Residential TWP, Petbasheerabad, Kompally, Hyderabad, Telangana 500067","Hyderabad, Telangana",Google Maps Lead Generator,D
"Interio by Godrej - Furniture and Mattress Store in Abid Rd, Hyderabad",09167990236,https://stores.interio.com/interio-by-godrej-furniture-and-mattress-store-in-abid-rd-hyderabad-abids-store-home-furniture-shop-abids-hyderabad-285053/Home?utm_source=locator&utm_medium=googleplaces,mdivya@godrej.com,"5/8/537/541, Abids Road, opposite Taj Mahal Hotel, Chirag Ali Lane, Abids, Hyderabad, Telangana 500001","Hyderabad, Telangana",Google Maps Lead Generator,D
Andhra Pradesh Furnitures,04023202221,http://ap.furniture/,,"5-8-106, Nampally Station Rd, Mahesh Nagar, Abids, Hyderabad, Telangana 500001","Hyderabad, Telangana",Google Maps Lead Generator,D
Bontrue - Premium & Luxury Furniture,08977014141,https://bontrue.in/pages/luxury-furniture-store-in-banjara-hills-hyderabad?utm_source=Google&utm_medium=GMB,,"Sy. No. 129/23/2, Vasavi Corporate Building, Plot No. 8-2-703/7, 1&1A, Road No. 12, beside Century Hospital, Banjara Hills, Hyderabad, Telangana 500028","Hyderabad, Telangana",Google Maps Lead Generator,D
Tirumala Furnitures,09333006003,https://www.tirumalafurnitures.in/,,"Plot No 43, 44, Kukatpally, Pragathi Nagar, Hyderabad, Telangana 500090","Hyderabad, Telangana",Google Maps Lead Generator,D
TARUN FURNITURE NAMPALLY,08106526600,,,"5-8-9/13,sreemanth Commercial Complex,opp Andhra Bank,, Nampally Station Road, Hyderabad, Telangana 500001","Hyderabad, Telangana",Google Maps Lead Generator,D
Royaloak Furniture Banjara Hills,07942762688,https://stores.royaloakindia.com/royaloak-furniture-banjara-hills-home-furniture-shop-banjara-hills-hyderabad-430081/Home?utm_source=locator&utm_medium=googleplaces,bhl@royaloakindia.com,"House No 8, No 4/B, 2/682/1, Road No. 12, beside Ratnadeep Supermarket, Fortune Enclave, Sri Ram Nagar Colony, Banjara Hills, Hyderabad, Telangana 500034","Hyderabad, Telangana",Google Maps Lead Generator,D
M.S Furniture,08639477605,http://msfurnituree.com/,obcatalystbusinesssolutions@gmail.com,"Metro station, Pillar No.1103, Chikkadpalli Rd, near Saptagiri theater, RTC Cross Road, Sweta Enclave, Jawahar Nagar, Himayatnagar, Hyderabad, Telangana 500020","Hyderabad, Telangana",Google Maps Lead Generator,D
Bantia Furniture | Hitech City Store,04027841562,https://www.bantia.in/,,"Survey No. 68 and 69, Plot No 14, Silicon Valley, HITEC City, Madhapur Village, Hyderabad, Telangana 500081","Hyderabad, Telangana",Google Maps Lead Generator,D
CustomFurnish Furniture Factory,09014324646,http://www.customfurnish.com/,wecare@customfurnish.com,"Gundla Pochampalli Village Road, near Secunderabad, Gundlapochampally, Hyderabad, Telangana 500100","Secunderabad, Telangana",Google Maps Lead Generator,D
Bantia Furniture | Secunderabad Store,07993333351,http://bantia.in/,,"Bantia estate, 207, Sikh Rd, Kummu Gutta, Gunrock Enclave, Secunderabad, Telangana 500003","Secunderabad, Telangana",Google Maps Lead Generator,D
Anu Furniture Habsiguda- best furniture store,09100913033,https://www.anufurnitures.com/stores/hyderabad/habsiguda-store?utm_source=gmb_habsiguda&utm_medium=organic&utm_campaign=traffic_from_gmb_habsiguda,info@anufurnitures.com,"Venkateswara Heights, Nacharam - Mallapur Rd, s-1&s-2, HMT Nagar, Nacharam, Secunderabad, Telangana 500076","Secunderabad, Telangana",Google Maps Lead Generator,D
Royaloak Furniture Neredmet,07942762668,https://stores.royaloakindia.com/royaloak-furniture-neredmet-home-furniture-shop-neredmet-secunderabad-428551/Home?utm_source=locator&utm_medium=googleplaces,awl@royaloakindia.com,"No 37, 128 & 4, Neredmet Cross Road Sri Colony, Ramakrishnapuram, Neredmet, Secunderabad, Telangana 500056","Secunderabad, Telangana",Google Maps Lead Generator,D
"Interio by Godrej - Furniture and Mattress Store in Vikrampuri, Hyderabad",09619565028,https://stores.interio.com/interio-by-godrej-furniture-and-mattress-store-in-vikrampuri-hyderabad-vikrampuri-store-home-furniture-shop-vikrampuri-hyderabad-282493/Home?utm_source=locator&utm_medium=googleplaces,mdivya@godrej.com,"Shop No 54, Gayatri West End, Karkhana Rd, above Tata Motors, Vikrampuri Colony, Karkhana, Hyderabad, Secunderabad, Telangana 500009","Secunderabad, Telangana",Google Maps Lead Generator,D
Sri Rupha Furniture & Furnishings,09849097623,http://www.rupha.in/,rupha98@gmail.com,"Kummu Gutta, Bowenpally, Secunderabad, Telangana 500009","Secunderabad, Telangana",Google Maps Lead Generator,D
R S Furniture - Furniture for all your needs. We Sell & rent furniture.,09908305448,,,"C-10, Minerva Complex, Sarojini Devi Rd, Kalasiguda, Secunderabad, Telangana 500003","Secunderabad, Telangana",Google Maps Lead Generator,D
JK Furnitures,09985414424,,,"2,J, J Complex, 3-1-252 & 253, Sarojini Devi Rd, beside manju theatre, Avulamanda, Kalasiguda, Secunderabad, Telangana 500003","Secunderabad, Telangana",Google Maps Lead Generator,D
Furniture World,04027746606,http://furnitureworldindia.com/,,"FG72+6HH, Karkhana Main Road, Karkhana, Rajiv Gandhi Rahadari, Secunderabad, Telangana 500009","Secunderabad, Telangana",Google Maps Lead Generator,D
Manhattan Furniture in Vizag,08106481111,https://manhattanfurniture.co.in/,,"54-10-11 NH 5 Road, Beside Toyota Showroom, Kranthi Nagar, Isukathota, Maddilapalem, Visakhapatnam, Andhra Pradesh 530022","Visakhapatnam, Andhra Pradesh",Google Maps Lead Generator,D
Damro Furniture Visakhapatnam,07702228698,https://www.damroindia.com/,,"Block Ward, Opp:, Swarnabharathi Indoor Stadium, Sree kanya landmark, D.NO: 9-1-57&9-1-57/1, Plot No: 4 & 5, Rama Talkies Rd, Resapuvanipalem, Visakhapatnam, Andhra Pradesh 530013","Visakhapatnam, Andhra Pradesh",Google Maps Lead Generator,D
HomeTown,08008714448,https://www.hometown.in/?utm_source=Google&utm_medium=Local&utm_campaign=vishakapatnam-new-resapuvanipalem,,"Cmr-Vizag- Cmr Central Mall, Second Floor, Resapuvanipalem, Maddilapalem, Visakhapatnam, Andhra Pradesh 530013","Visakhapatnam, Andhra Pradesh",Google Maps Lead Generator,D
RAMACHANDRA BROTHERS FURNITURE SHOWROOM | Visakhapatnam,09676126111,https://ramachandrabrothers.com/,sairam.vamsi2797@gmail.com,"RAMACHANDRA BROTHERS lane, Rama Talkies Rd, Ramatalkies Area, Dwaraka Nagar, Visakhapatnam, Andhra Pradesh 530016","Visakhapatnam, Andhra Pradesh",Google Maps Lead Generator,D
Grand Furniture in vizag,09052751666,,,"#48-18-108, amma complex Rama talkies, to, Spencer road, Tulasipeta, Andhra Pradesh 530013","Visakhapatnam, Andhra Pradesh",Google Maps Lead Generator,D
Royaloak Furniture Vizag,07942762695,https://stores.royaloakindia.com/royaloak-furniture-vizag-home-furniture-shop-asilmetta-junction-visakhapatnam-452988/Home?utm_source=locator&utm_medium=googleplaces,vizag@royaloakindia.com,"No 9/1/262, beside Sanghvi Jewellery, Asilmetta Junction, Asilmetta, Visakhapatnam, Andhra Pradesh 530003","Visakhapatnam, Andhra Pradesh",Google Maps Lead Generator,D
Naayaab Interiors,07032485870,https://www.naayaabinteriors.in/,,"Aarif Optical Plaza, CBM Compound, D.No. 9-24-1, 1st Floor, Rama Talkies Rd, Visakhapatnam, Andhra Pradesh 530003","Visakhapatnam, Andhra Pradesh",Google Maps Lead Generator,D
Metro Furniture FURNITURE SHOPS IN VIZAG,09848669636,,,"52-10-17/A old resapuvanipalem, to, cmr central road, near Audi car showroom, Visakhapatnam, Andhra Pradesh 530013","Visakhapatnam, Andhra Pradesh",Google Maps Lead Generator,D
Influence Furniture,09603241111,https://www.influencefurniture.in/,,"32-2-3, Rama Rao St, near Navodaya School, Kasturibaipet, Vijayawada, Andhra Pradesh 520010","Vijayawada, Andhra Pradesh",Google Maps Lead Generator,D
Furniture Park,06303002793,http://furnitureparkco.com/,,"South India Shopping Mall, Eluru Rd, behind apsara theater, Governor Peta, Vijayawada, Andhra Pradesh 520002","Vijayawada, Andhra Pradesh",Google Maps Lead Generator,D
URBAN Furniture Gallery - Solid Sheesham Wood / Teak Wood Exclusive store,09666329296,https://urbanfurnituregallery.com/,urbanfurnituregallery@gmail.com,"Yadla's Square - Ramakrishnaiah Building, 33-1-3, Vemula Syamala Devi St, Seetharampuram, Suryaraopeta, Vijayawada, Andhra Pradesh 520002","Vijayawada, Andhra Pradesh",Google Maps Lead Generator,D
Royaloak Furniture Vijayawada 2,07942762704,https://stores.royaloakindia.com/royaloak-furniture-vijayawada-2-home-furniture-shop-vijayawada-road-vijayawada-452997/Home?utm_source=locator&utm_medium=googleplaces,fvjwd1@royaloakindia.com,"Kamayyathopu, Center, Vijayawada Rd, beside Bharat Petrol Station, Kanuru, Vijayawada, Kanuru, Andhra Pradesh 520007","Vijayawada, Andhra Pradesh",Google Maps Lead Generator,D
Royal Home Furniture - (Best Home & Office Furniture in Vijayawada),09292459459,https://royalhomefurniture.in/,,"NearApsara Theatre, 27-1-124, Eluru Rd, Governor Peta, Vijayawada, Andhra Pradesh 520002","Vijayawada, Andhra Pradesh",Google Maps Lead Generator,D
Central Furniture,09032119191,,,"2nd Floor, E City Building, Museum Rd, Governor Peta, Vijayawada, Andhra Pradesh 520002","Vijayawada, Andhra Pradesh",Google Maps Lead Generator,D
Home Centre - Furniture Store,18002127500,https://stores.homecentre.in/home-centre-furniture-store-oasis-mall-home-furniture-shop-mg-road-vijayawada-244016/Home?utm_source=locator&utm_medium=googleplaces,vijoasis.hccm@landmarkgroup.in,"Ward No 11, 2nd Floor, Oasis Mall Block, 4, MG Rd, Brindavan Colony, Sriram Nagar, Vijayawada, Andhra Pradesh 520010","Vijayawada, Andhra Pradesh",Google Maps Lead Generator,D
"RAMACHANDRA BROTHERS Ramavarapadu, Vijayawada | Premium Furniture Showroom",09006134477,https://ramachandrabrothers.com/,sairam.vamsi2797@gmail.com,"D.no:5-108, Eluru Road, Rural, Ramavarapadu, Ramavarappadu, Andhra Pradesh 521108","Vijayawada, Andhra Pradesh",Google Maps Lead Generator,D
"RAMACHANDRA BROTHERS | MG Rd, Vijayawada",07396438999,https://ramachandrabrothers.com/,sairam.vamsi2797@gmail.com,"10-139/1, MG Rd, near TIME HOSPITAL, Pappulamillu Centre, Ashok Nagar, Vijayawada, Andhra Pradesh 520007","Vijayawada, Andhra Pradesh",Google Maps Lead Generator,D
Amulya Furniture | Furniture shop in vijayawada,09966554478,http://www.amulyafurniture.com/,info@yourcompany.example.com,"door no :- 27, Amulya Tower, 12-78, Ali Baig St, Governor Peta, Vijayawada, Andhra Pradesh 520002","Vijayawada, Andhra Pradesh",Google Maps Lead Generator,D
Wakefit - Furniture Store in Marathahalli,08061044103,https://www.wakefit.co/furniture-store/bengaluru/Marathahalli?utm_source=google&utm_medium=gmb&utm_campaign=gbp-bangalore,,"Ground Floor, 36/1, Marathahalli - Sarjapur Outer Ring Rd, Kadubeesanahalli, Bengaluru, Karnataka 560103","Bengaluru, Karnataka",Google Maps Lead Generator,D
Malnad Furnitures,09844054322,https://malnadfurnitures.com/,,"29, Thambu Chetty Palya Main Rd, near Bharath Petroleum, Hoysala Nagar, Ramamurthy Nagar, Bengaluru, Karnataka 560016","Bengaluru, Karnataka",Google Maps Lead Generator,D
Furnishka JP Nagar - Furniture Shop in Bangalore | Flagship Store,09740528341,"https://www.furnishka.com/?utm_source=Website%20GMB%20Button&utm_medium=GMB%20JP%20Nagar,%20Bangalore&utm_campaign=Furnishka",marketing@furnishka.com,"13, Outer Ring Rd, above Federal Bank, JP Nagar 6th Phase, MG Layout, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka 560078","Bengaluru, Karnataka",Google Maps Lead Generator,D
"Interio by Godrej- Furniture & Mattress Store in Kasturaba Road, Bengaluru",08291288560,https://stores.interio.com/interio-by-godrej-furniture-mattress-store-in-kasturaba-road-bengaluru-kasturba-road-store-home-furniture-shop-kasturaba-road-bengaluru-275554/Home?utm_source=locator&utm_medium=googleplaces,interiocare@godrej.com,"Shop No 10A, Chandra Kiran Building, Kasturba Cross Rd, opposite Cubban Park Police Station, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001","Bengaluru, Karnataka",Google Maps Lead Generator,D
Cherrypick India - Best Furniture Shop in Bangalore,09108953820,https://www.cherrypickindia.in/,livenstyle@gmail.com,"2, 20th Main Rd, opposite Koramangala Indoor Stadium, Nanjappa Reddy Layout, Koramangala 8th Block, Koramangala, Bengaluru, Karnataka 560095","Bengaluru, Karnataka",Google Maps Lead Generator,D
Veldon Furniture | Best Furniture Shop,09535036123,,,"18, Central St, Shivaji Nagar, Bengaluru, Karnataka 560001","Bengaluru, Karnataka",Google Maps Lead Generator,D
Furnishka - Koramangala | Best Furniture Store in Bangalore,08861523619,https://www.furnishka.com/?utm_source=Website&utm_medium=GMB&utm_campaign=Furnishka%20Koramangala%20Store,,"35, 100 Feet Rd, Vivek Nagar, Chandra Reddy Layout, S T Bed Layout, Koramangala, Bengaluru, Karnataka 560047","Bengaluru, Karnataka",Google Maps Lead Generator,D
Anu Furniture Whitefield – Best Furniture Shop,09148203033,https://www.anufurnitures.com/stores/bengaluru/whitefieldstore-bengaluru?utm_source=gmb_whitefield&utm_medium=organic&utm_campaign=traffic_from_gmb_whitefield,info@anufurnitures.com,"Patel G Narayanappa Garden, C No: 806/701, Varthur Main Rd, beside Honda Tansi, Ramagondanahalli, Whitefield, Bengaluru, Karnataka 560066","Bengaluru, Karnataka",Google Maps Lead Generator,D
Royaloak Furniture Mysore,07942811855,https://stores.royaloakindia.com/royaloak-furniture-mysuru-1-home-furniture-shop-bogadi-mysore-453015/Home?utm_source=locator&utm_medium=googleplaces,mysore-1@royaloakindia.com,"Mahaveer interior #1 new kantaraj urs road, Ring Rd, Anand Nagar, Mysuru, Karnataka 570022","Mysuru, Karnataka",Google Maps Lead Generator,D
"Damro Furniture – Modern & Affordable | Mysore, Karnataka",08861652271,https://damroindia.com/,,"No 13, Apollo Hospital road, 80 Feet, Adichunchanagiri Road, near RMP, Kuvempu Nagar 2nd Stage, Mysuru, Karnataka 570023","Mysuru, Karnataka",Google Maps Lead Generator,D
Damro Furniture - Mangalore,08244251488,https://damroindia.com/karnataka/,service@damroindia.com,"NH 17, 414/4, Mangalore - Udupi Road, near flyover, opp. canara bank, chowki, Kottara, Mangaluru, Karnataka 575006","Mangaluru, Karnataka",Google Maps Lead Generator,D
Royaloak Furniture Hubli,07942762711,https://stores.royaloakindia.com/royaloak-furniture-hubli-home-furniture-shop-keshwapur-hubli-453004/Home?utm_source=locator&utm_medium=googleplaces,hubballi-1@royaloakindia.com,"Badami Nagar, Hubballi, Karnataka 580023","Hubballi, Karnataka",Google Maps Lead Generator,D
"Damro Furniture – Modern & Affordable | Belagavi, Karnataka",08312478223,https://www.damroindia.com/,salessupport@damroindia.com,"Apmc & Corner, 60, Bauxite Road, Sangameshwar Nagar, Ambedkar Nagar, Azam Nagar, Belagavi, Karnataka 590019","Belagavi, Karnataka",Google Maps Lead Generator,D
Royaloak Furniture Shivamogga 1,07942811894,https://stores.royaloakindia.com/royaloak-furniture-shivamogga-1-home-furniture-shop-basavanagudi-shimoga-470956/Home?utm_source=locator&utm_medium=googleplaces,shimoga@royaloakindia.com,"Balaraj Urs Rd, opp. Canara Bank, near PWD office, Basavanagudi, Shivamogga, Karnataka 577201","Shivamogga, Karnataka",Google Maps Lead Generator,D
"Pepperfry Tumakuru - Multi Brand Furniture, Mattress & Home Furnishings Shop",08037500599,https://www.pepperfry.com/stores/location/furniture-store-in-tumakuru.html?utm_source=locator&utm_medium=googleplaces,,"No 18889, Vasavi Arcade, MG Rd, beside Nilkamal Furniture Store, 2nd Cross, Ward No. 18, Tumkur, Tumakur, Karnataka 572101","Tumakuru, Karnataka",Google Maps Lead Generator,D
Store 1,,https://google.com,,,,Google Maps Lead Generator,D
Store 3,,https://github.com,,,,Google Maps Lead Generator,D
Store 2,,https://microsoft.com,,,,Google Maps Lead Generator,D
Store 4,,https://wikipedia.org,,,,Google Maps Lead Generator,D
Store 6,,https://pypi.org,,,,Google Maps Lead Generator,D
Store 5,,https://python.org,,,,Google Maps Lead Generator,D
Store 8,,https://stackoverflow.com,,,,Google Maps Lead Generator,D
Store 7,,https://mozilla.org,c3ab8514873549d5b3785ebc7fb83c80@o1069899.ingest.sentry.io,,,Google Maps Lead Generator,D
