Company,Phone,Website,Email,Street,Status,Rating
KMR International School (CBSE),07373757804,http://www.kmrschool.com/,kmrschoolmdu@gmail.com,"AH43, near Achampathu, 4 Ways Track, Vilachery, Tamil Nadu 625019",Open - Not Contacted,D
KMH Realtor,09790239313,,,"205,C5, Suguna store, 2, Anna Nagar, Madurai, Tamil Nadu 625020",Open - Not Contacted,D
RJ real estate,07639888878,https://rjrealestatelandpromiter.in/,,"261 SOURSHTRA TEACHEER COLONY, near jai sri ram dth, Madurai, Tamil Nadu 625009",Open - Not Contacted,D
Prime Realtors - Real Estates & Consultancy Firm,09363640045,,,"Anna Nagar Main Road, Anna Nagar, Madurai, Tamil Nadu 625020",Open - Not Contacted,D
MJK REAL ESTATES,09629457147,https://www.mjkrealestates.com/,,"Thavittuchanthai, New Mahalipatti Rd, Madurai, Tamil Nadu 625001",Open - Not Contacted,D
Elitesproperty Corporate Properties Services,09944495215,,,"No 1, Meenakshi Kovil St, CHOKKANATHAPURAM, Madurai Main, Madurai, Tamil Nadu 625002",Open - Not Contacted,D
"Interio by Godrej - Furniture Store in Arcot Road, Chennai",08291096373,https://stores.interio.com/godrej-interio-furniture-store-in-arcot-road-chennai-akshaya-smart-solution-home-furniture-shop-arcot-road-chennai-411348/Home?utm_source=locator&utm_medium=googleplaces,balagm@godrej.com,"47, Arcot Rd, next to Mani Mahal, Velayutham Colony, Saligramam, Chennai, Greater Chennai, Tamil Nadu 600093",Open - Not Contacted,D
Sri Sai Furnitures Wakefit Store,09840202534,http://www.srisaifurniture.com/,,"No: 81, Kundrathur Main Rd, near PNB, Ramanatheswarar Nagar, Porur, Chennai, Greater Chennai, Tamil Nadu 600125",Open - Not Contacted,D
Brown Elephant Furniture Porur,07200122923,,,"2/2, Mount Poonamallee Rd, Gandhi Nagar, Porur, Chennai, Greater Chennai, Tamil Nadu 600116",Open - Not Contacted,D
Wood Express Furniture,09094477777,http://www.woodexpress.in/,contact@littelburp.com,"82, Jawaharlal Nehru Salai, Vadapalani, Chennai, Greater Chennai, Tamil Nadu 600026",Open - Not Contacted,D
"Wooden Street - Furniture and Mattress Store in Pallikaranai, Chennai",09314444747,https://www.woodenstreet.com/furniture-store-pallikaranai-chennai?utm_source=GMB_Listing&utm_medium=website_button&utm_campaign=GMB_Traffic&utm_id=Pallikaranai_Chennai,support@woodenstreet.com,"Plot 13, Velachery Main Rd, Mailai Balaji Nagar, Karapagambal Nagar, Pallikaranai, Chennai, Greater Chennai, Tamil Nadu 600100",Open - Not Contacted,D
Zabeel Multicuisine Restaurant,,,,"Old # 50, New # 72, Perumal Koil St, Venugopal Nagar, Iyyappanthangal, Chennai, Ayyappanthangal, Tamil Nadu 600116",Open - Not Contacted,D
SKY THRU ROOFTOP RESTAURANT,09600907450,,,"3rd floor, New, 12, Mount Poonamallee Rd, Kattupakkam, Chennai, Tamil Nadu 600056",Open - Not Contacted,D
The Waterfall Restaurant,04423624488,http://www.thewaterfallrestaurant.com/,,"18, LV Prasad Rd, Thangal karai, Dhanalakshmi Colony, Vadapalani, Chennai, Greater Chennai, Tamil Nadu 600026",Open - Not Contacted,D
Copper Kitchen Porur,09677191800,http://copperkitchen.in/,contact@copperkitchen.in,"No:6, 133, Arcot Rd, near Porur Signal, Devi Nagar, Porur, Chennai, Greater Chennai, Tamil Nadu 600116",Open - Not Contacted,D
J Hind,04428150500,http://www.grthotels.com/chennai/wineanddine,,"120, Sir Thyagaraya Rd, Drivers Colony, T. Nagar, Chennai, Greater Chennai, Tamil Nadu 600017",Open - Not Contacted,D
Raj Park Hotel Chennai,04442257777,https://www.rajpark.com/alwarpet-chennai-hotel/,chennai@rajparkhotels.com,"180, TTK Rd, Parthasarathypuram, Alwarpet, Chennai, Greater Chennai, Tamil Nadu 600018",Open - Not Contacted,D
"Trident, Chennai",04422344747,https://www.tridenthotels.com/hotels-in-chennai?utm_source=GMBlisting&utm_medium=organic,reservations@tridenthotels.com,"1, 24, Grand Southern Trunk Rd, Kannan Colony, Meenambakkam, Chennai, St.Thomas Mount, Tamil Nadu 600016",Open - Not Contacted,D
Friendlystay - Elite,09840920824,,,"Plot No 20, 10th Cross, 1st St, near Karpaga Vinayagar Temple, Madha Nagar Extension 1, Mugalivakkam, Chennai, Tamil Nadu 600125",Open - Not Contacted,D
Joy Residency porur,09884884523,,,"56/3, Mugalivakkam Main Rd, Himachal Nagar, Annai Velankanni Nagar Phase 1, Madhanandapuram, Chennai, Greater Chennai, Tamil Nadu 600125",Open - Not Contacted,D
Palette - Hotel chennai le palace,01246201615,https://www.oyorooms.com/102424/,guestsupport.na@oyorooms.com,"5/9, Arcot Rd, Karambakkam, Devi Nagar, Porur, Chennai, Greater Chennai, Tamil Nadu 600116",Open - Not Contacted,D
Apollo Dental Neelankarai,09360909083,https://www.apollodentalecr.com/,,"3/4, East Coast Rd, opp. to Shanthi Hospital, Saraswathy Nagar North, Neelankarai, Chennai, Greater Chennai, Tamil Nadu 600115",Open - Not Contacted,D
Dr. Akkshaya Dental and Aesthetics | Root canal specialist | Root canal centre | Invisalign provider,08925664205,https://www.drakkshayadental.co.in/,info@drakkshayadental.com,"9, Saraswathi St, Bharath Nagar, Adambakkam, Chennai, Greater Chennai, Tamil Nadu 600088",Open - Not Contacted,D
iDentist Family Dental Care,09952248569,,,"Mugalivakkam Main Rd, Om Shakthi Nagar, Himachal Nagar, Ramji Nagar, Madhanandapuram, Chennai, Greater Chennai, Tamil Nadu 600125",Open - Not Contacted,D
JJ ROYAL DENTAL,09566049591,https://dralan.drxpro.in/,jjroyaldental@gmail.com,"MADHA NAGAR MAIN ROAD ,MOWLIVAKKAM , CHENNAI- 600 125, Chennai, Tamil Nadu 600125",Open - Not Contacted,D
32 Dental Care Madhanandapuram| Dental Clinic in Mugalivakkam - Dental Implants Speciality Hospital | Dental Implants Chennai,08754469732,https://32dentalcare.org/,marketing@32dentalcare.org,"No.3, 1593, Kundrathur Main Road, Sathyanarayana Puram Main Rd, above Sree Gupta Bhavan, Madanandapuram, Moulivakkam, Chennai, Tamil Nadu 600125",Open - Not Contacted,D
SIMS Hospitals - Multi Speciality Hospital in chennai,04420002001,https://simshospitals.com/,enquiry@simshospitals.com,"Metro No.1 Jawaharlal Nehru Road, Landmark:, next to Vadapalani, Chennai, Tamil Nadu 600026",Open - Not Contacted,D
"KEDAR HOSPITAL - Mugalivakkam, Chennai (24 Hours Multi-Speciality Hospital)",09941022244,https://kedarhospitals.com/,kedarhospital@gmail.com,"19, Mugalivakkam Main Rd, Kumudam Nagar, Porur, Chennai, Greater Chennai, Tamil Nadu 600125",Open - Not Contacted,D
Mahalakshmi Multispeciality Hospital | Best Hospital in Iyyappanthangal | Best Multispeciality Hospital in Chennai,09940442421,https://mmshospitals.com/,info@mmshospitals.com,"1/164, Mount Poonamallee Rd, VGN Nagar, Iyyappanthangal, Chennai, Ayyappanthangal, Tamil Nadu 600056",Open - Not Contacted,D
Vignesh Hospital,09500065170,,,"Vengadeswara Nagar, Porur, 36, Poothapedu Main Rd, Ramapuram, Chennai, Tamil Nadu 600116",Open - Not Contacted,D
K.M.Speciality Hospital,09962777777,,,"No 453, 453/454, RK Shanmugam Salai, Sector 6, K. K. Nagar, Chennai, Greater Chennai, Tamil Nadu 600078",Open - Not Contacted,D
BLACK BULL FITNESS STUDIO,09042603224,http://www.blackbullfitnessstudio.com/,,"No 2, Ramachandra Nagar, 1st St, Madanandapuram, Porur, Chennai, Greater Chennai, Tamil Nadu 600125",Open - Not Contacted,D
REDSWEAT FITNESS STUDIO,08870555505,,,"3/1790, 2nd floor, kundrathur main road, madanandapuarm, Porur, Chennai, Tamil Nadu 600125",Open - Not Contacted,D
Shredded Society Fitness Studio - Madhanandapuram,09840720071,,,"No 118,1st floor, Arjun Complex, Madha Nagar Main Road, Madha Nagar, Madhanandapuram, Chennai, Greater Chennai, Tamil Nadu 600125",Open - Not Contacted,D
VIVAFIT - Best Fitness Center for Women in Madhanandapuram,09994191078,https://vivafit.life/madhanandapuram/,,"ground floor, 3/805A, Mugalivakkam Main Rd, Shanmuga Nagar, Madhanandapuram, Chennai, Greater Chennai, Tamil Nadu 600125",Open - Not Contacted,D
Paxus Fitness Studio,09176669369,https://www.paxusfitnessstudio.com/,paxusfitnessstudio@gmail.com,"3/1790, 2nd floor, kundrathur main road, madanandapuarm, Porur, Chennai, Tamil Nadu 600125",Open - Not Contacted,D
"D Paris Whisk - Homemade cakes, brownies and pastries",09962242366,,,"5th Cross St, Annai Velankanni Nagar Phase 1, Madhanandapuram, Chennai, Greater Chennai, Tamil Nadu 600125",Open - Not Contacted,D
"Theobroma Bakery and Cake Shop - Porur,Chennai",08182881881,https://order.theobroma.in/order/theobroma-porur-chennai,contact@theobroma.in,"No 24, New, Trunk Rd, next to Go Gas, opposite State Bank Of India, Nethaji Nagar, Ramakrishna Nagar, Porur, Chennai, Greater Chennai, Tamil Nadu 600116",Open - Not Contacted,D
NEW ARCHANA SWEETS AND BAKERY,09551365658,,,"Shop No 1, and Wilsons ASHA, Madha Nagar Main Road, MRK Nagar, Madhanandapuram, Kanchipuram, Greater Chennai, Tamil Nadu 600125",Open - Not Contacted,D
Cake Square Madhanandhapuram - cake shop in chennai - wedding cake,09952052333,http://cakesquare.com/,cakesquarechennai@gmail.com,"Mugalivakkam Main Rd, Ponni Nagar, Moulivakkam, Chennai, Greater Chennai, Tamil Nadu 600125",Open - Not Contacted,D
La CakeBlock,07305331112,,,"3/148, chinna kulandhai street, Anna Main Rd, Kolapakkam, Chennai, Tamil Nadu 600128",Open - Not Contacted,D
Advanced GroHair & GloSkin - Tiruvallur,07579756789,https://adgrohairandgloskintiruvallur.com/,,"First floor, 86/163, JN Rd, near Girias & Post office, Periyakuppam, Kakkalur, Tamil Nadu 602001",Open - Not Contacted,D
"STYLE DESTINY - BEST UNISEX SALON - HAIR, SKIN, MAKEUP, NAIL , PERMANENT HAIR EXTENSION LEADING EXPERTS & ACADEMY",09840775220,,,"first floor, no.5, Mugalivakkam Main Rd, beside Gupta bhavan, Shanmuga Nagar, Madhanandapuram, Chennai, Greater Chennai, Tamil Nadu 600125",Open - Not Contacted,D
Naturals Salon,09003045678,https://salons.naturals.in/naturals-salon-beauty-salons-mugalivakkam-kanchipuram-289507/Home?utm_source=locator&utm_medium=googleplaces,valasaravakkam.naturals@gmail.com,"1st Floor, 1, Mugalivakkam Rd, Subbiah Nagar, Thiripurasundari Avenue, Mugalivakkam, Kanchipuram, Greater Chennai, Tamil Nadu 600125",Open - Not Contacted,D
"Cheap and Best Men's Salon, Madhanandapuram",07094099099,,,"110, Mugalivakkam Main Rd, Santosh Nagar, Madhanandapuram, Chennai, Greater Chennai, Tamil Nadu 600125",Open - Not Contacted,D
"Green Trends - Unisex Hair & Style Salon, Madhanandapuram",09500090802,https://salons.mygreentrends.in/salon-in-madhanandapuram-chennai-tamilnadu,,"2nd Floor, 84/6F, Mugalivakkam Rd, above GRACE SUPER MARKET, Thiripurasundari Avenue, Madhanandapuram, Chennai, Greater Chennai, Tamil Nadu 600125",Open - Not Contacted,D
Anand Singapore International School Chennai,08012135555,https://asis.education/,admissions@asis.education,"parvathi Avenue Madanandapuram, Udhaya Nagar Main Rd, Porur, Chennai, Tamil Nadu 600125",Open - Not Contacted,D
Ravindra Bharathi Global School,09150088903,http://www.rbglobalschools.in/,support@rstheme.com,"Rani Gopal Complex, Mugalivakkam Main Rd, Madanandapuram, Mugalivakkam, Chennai, Greater Chennai, Tamil Nadu 600125",Open - Not Contacted,D
ORCHIDS The International School - CBSE School in Manapakkam,09999431999,https://www.orchidsinternationalschool.com/chennai-branches/manapakkam/,info@orchids.edu.in,"Manapakkam Main Rd, Theresa Nagar, Kolapakkam, Chennai, Kolapakkam, Tamil Nadu 600128",Open - Not Contacted,D
St Ann's Matriculation Higher Secondary School,08012518477,http://www.stannsporur.com/,,"3/820, Bajanaikoil Street, Mugalivakkam Main Rd, Madhanandapuram, Chennai, Tamil Nadu 600125",Open - Not Contacted,D
Swamy's School,09384801123,https://www.swamysschool.com/,contact@swamysschool.com,"Padmavathi Street Santhosh Nagar Madanandapuram, Mugalivakkam, Porur, Chennai, Tamil Nadu 600125",Open - Not Contacted,D
CeeYen Real Estate Agency® || Real Estate Agents in Chennai || Real Estate Company,09042335335,http://ceeyen.com/,info@mydomain.com,"476, 2nd Floor, 19th Street, 4th sector, K. K. Nagar, Chennai, Tamil Nadu 600078",Open - Not Contacted,D
G.R Real Estate,09884274744,,,"No.1 Rani Gopal Complex, Mugalivakkam Main Rd, Mugalivakkam, Ramji Nagar, Madhanandapuram, Chennai, Tamil Nadu 600125",Open - Not Contacted,D
Home Konnect® - CRISIL Rated & RERA Registered Real Estate Consultants Award Winning Top Rated Real Estate Agency,09940366555,https://www.homekonnect.com/,,"No. 5B, 5th Floor, Doshi Towers Old No. 156, New No. 205, Poonamallee High Rd, Kilpauk, Chennai, Tamil Nadu 600010",Open - Not Contacted,D
RS REALTY - Best Real Estate in Pallavaram - Chennai,09840289542,https://rsrealty.net/,rsrealty20@gmail.com,"2nd Floor, 74, Grand Southern Trunk Rd, Sunnambu Colony, Pallavaram, Chennai, Tamil Nadu 600043",Open - Not Contacted,D
NANDHU REAL ESTATE,07401634397,,,"44, Poonamallee High Rd, near MGR University Road, Vishwas Nagar, Maduravoyal, Chennai, Greater Chennai, Tamil Nadu 600095",Open - Not Contacted,D
"The Sleep Company Experience Store - Bannerghatta Rd, Billekahally",07304417550,https://thesleepcompany.in/pages/mattress-store-in-bannerghatta?utm_source=locator&utm_medium=googleplaces,,"262, Billekahally, Bannerghatta Rd, Sundar Ram Shetty Nagar, Bilekahalli, Bengaluru, Karnataka 560076",Open - Not Contacted,D
Malnad Furnitures,09844054322,https://malnadfurnitures.com/,,"29, TC Palya Main Rd, near Bharath Petroleum, Hoysala Nagar, Ramamurthy Nagar, Bengaluru, Karnataka 560016",Open - Not Contacted,D
"Interio by Godrej - Furniture & Mattress Store in Kasturaba Road, Bengaluru",08291288560,https://stores.interio.com/interio-by-godrej-furniture-mattress-store-in-kasturaba-road-bengaluru-kasturba-road-store-home-furniture-shop-kasturaba-road-bengaluru-275554/Home?utm_source=locator&utm_medium=googleplaces,kush@godrej.com,"Shop No 10A, Chandra Kiran Building, Kasturba Cross Rd, opposite Cubban Park Police Station, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",Open - Not Contacted,D
Furnishka JP Nagar - Furniture Shop in Bangalore | Flagship Store,09740528341,"https://www.furnishka.com/?utm_source=Website%20GMB%20Button&utm_medium=GMB%20JP%20Nagar,%20Bangalore&utm_campaign=Furnishka",,"13, Outer Ring Rd, above Federal Bank, JP Nagar 6th Phase, MG Layout, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka 560078",Open - Not Contacted,D
Cherrypick India - Best Furniture Shop in Bangalore,09108953820,https://www.cherrypickindia.in/,livenstyle@gmail.com,"2, 20th Main Rd, opposite Koramangala Indoor Stadium, Nanjappa Reddy Layout, Koramangala 8th Block, Koramangala, Bengaluru, Karnataka 560095",Open - Not Contacted,D
"Karavalli - Vivanta Bengaluru, Residency Road",08066604545,https://www.vivantahotels.com/en-in/hotels/vivanta-bengaluru-residency-road/restaurants/karavalli-bengaluru-residency-road,,"Vivanta, 66, Residency Rd, Srinivas Nagar, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025",Open - Not Contacted,D
"Gufha Restaurant, Kumarapark",09019908004,https://www.paihotels.com/the-president-hotel-kumara-park-bangalore/restaurants/restaurants.html,enquiry@presidenthotel.in,"101, Railway Parallel Rd, Kumarapark West, Kumara Park West, Seshadripuram, Bengaluru, Karnataka 560020",Open - Not Contacted,D
Spice Terrace,08884675454,https://www.marriott.com/en-us/hotels/blrjw-jw-marriott-hotel-bengaluru/dining/?scid=feed67b0-9a2f-4de1-8df6-114544116108,,"24, JW Marriott Bengaluru, 1, Vittal Mallya Rd, Ashok Nagar, Bengaluru, Karnataka 560001",Open - Not Contacted,D
Bengaluru Restaurant,,https://restaurant-bengaluru.ueniweb.com/?utm_campaign=gmb,pijushsarkar908@gmail.com,"Ganigara, C, Gurkar Ramanayak Ln, Bengaluru, Karnataka 560002",Open - Not Contacted,D
Jamavar,08951974426,https://www.theleela.com/the-leela-palace-bengaluru/restaurants/jamavar?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gbp-leela-palace-bengaluru-jamavar&utm_content=restaurant-website-click,reservations@theleela.com,"23, The Leela Palace, HAL Old Airport Rd, HAL 2nd Stage, Kodihalli, Bengaluru, Karnataka 560008",Open - Not Contacted,D
"The Fern Residency Bengaluru, Yeshwanthpur, Series by Marriott",08043578900,https://www.marriott.com/en-us/hotels/blrrb-the-fern-residency-bengaluru-yeshwanthpur-series/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,"6, 1, Tumkur Rd, next to Sparsh Hospital, Yeshwanthpur Industrial Area, Phase 1, Yeswanthpur, Bengaluru, Karnataka 560022",Open - Not Contacted,D
Parijatha Gateway,08043111111,http://www.parijathahotels.com/,,"No.26/4, & 5, Dr Rajkumar Rd, opp. Govt. Soap Factory, Rajajinagar, Bengaluru, Karnataka 560055",Open - Not Contacted,D
The LaLiT Ashok Bengaluru,08068177777,https://www.thelalit.com/the-lalit-bangalore/,resvblr@thelalit.com,"Kumarakrupa Rd, High Grounds, Seshadripuram, Bengaluru, Karnataka 560001",Open - Not Contacted,D
The Chancery Pavilion,08041414141,https://chanceryhotels.com/pavilion/,jobs@chanceryhotels.com,"135, Residency Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025",Open - Not Contacted,D
"Vivanta Bengaluru, Residency Road",08066604545,https://www.vivantahotels.com/en-in/hotels/vivanta-bengaluru-residency-road?utm_source=google&utm_medium=local&utm_campaign=vivanta-bengaluru-residency-road&utm_content=vivanta-bengaluru-residency-road-gmb,,"66, Residency Rd, Ashok Nagar, Bengaluru, Karnataka 560025",Open - Not Contacted,D
Ethicura Dental,09845728378,https://www.ethicuradental.in/,ethicuradental@gmail.com,"No.15, 1st Floor, 19th Main Road, 60 Feet Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560095",Open - Not Contacted,D
Apollo Dental CMH Road (Indiranagar),09071055544,https://apollodentalindiranagar.com/,info@apollodentalindiranagar.com,"1st Floor, Chinmaya Mission Hospital Rd, opp. to Metro Pillar 81, 2nd Stage, Indira Nagar II Stage, Hoysala Nagar, Indiranagar, Bengaluru, Karnataka 560008",Open - Not Contacted,D
Chisel Dental Clinic,09972117009,https://www.chiseldental.co.in/,chiseldentalclinics@gmail.com,"18, 1st Main Rd, opposite Ambur Biryani, Near Wipro Park, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560034",Open - Not Contacted,D
Sky Dental Clinic,09353248386,https://skydentalbengaluru.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,skydentalclinic.sahakarnagar@gmail.com,"618, 80 Feet Rd, near maharaja signal, 4th Block, Koramangala, Bengaluru, Karnataka 560034",Open - Not Contacted,D
Amaya Dental Clinic - Dental Clinic in Vasant Nagar,09591895500,https://www.amayadental.in/,amayadental.ind@gmail.com,"1st Floor, 8/1, Palace Cross Rd, Vasanth Nagar, Bengaluru, Karnataka 560052",Open - Not Contacted,D
The Bangalore Hospitals,08317310513,https://bangalorehospitals.in/,info@bangalorehospitals.in,"202, Rashtriya Vidyalaya Rd, 2nd Block, Basavanagudi, Bengaluru, Karnataka 560011",Open - Not Contacted,D
The Bangalore Hospitals Kengeri | Best Hospital in Bangalore,09090804680,https://www.bangalorehospitals.in/,info@bangalorehospitals.in,"1st Block, 3P/2, 60 Feet Rd, behind Shirke Apartment, Jnanabharathi Layout, Valgerahalli, Kengeri Satellite Town, Bengaluru, Karnataka 560059",Open - Not Contacted,D
"SPARSH Hospital, Infantry Road",08065913403,https://www.sparshhospital.com/hospitals/sparsh-hospital-infantry-road/,customercare@sparshhospital.com,"No 146, Prestige Opal, Infantry Rd, opp. Police Commissioner’s office, Vasanth Nagar, Bengaluru, Karnataka 560001",Open - Not Contacted,D
Bangalore Baptist Hospital,08046404700,http://www.bbh.org.in/,,"Bellary Rd, Vinayakanagar, Hebbal, Bengaluru, Karnataka 560032",Open - Not Contacted,D
South City Hospital,07204931879,https://southcityhospital.com/,info@southcityhospital.com,"53, SHALINI’, Mavalli, Main Road, Rashtriya Vidyalaya Rd, near Lalbagh West Gate on, Upparahalli, Mavalli, Bengaluru, Karnataka 560004",Open - Not Contacted,D
Live Fitness Gym - Best Gym in JP Nagar,09916681826,https://live-fitness-gym-jp-nagar-website.vercel.app/,,"Richie Rich Tours & travels, LIC Row House, N-2, 24th Main Rd, near SSMRV Dental College, TMC Layout, 1st Phase, J. P. Nagar, Bengaluru, Karnataka 560078",Open - Not Contacted,D
Spark3fitness Best Gym in Bangalore,08147157333,https://spark3fitness.in/,spark3fitness3@gmail.com,"28 1st cross Ramaiah Layout Kammanahalli Main Road, Post, opp. st Charles School, St Thomas Town, Kacharakanahalli, Bengaluru, Karnataka 560084",Open - Not Contacted,D
Rockwall Fitness,08049915898,http://rockwallfitness.in/,rockwallfitness99@gmail.com,"2nd Floor, Krishna Nagar Industrial Area, No.4, Hosur Main Road, next to Royal Enfield showroom, Venkateshwara Layout, S.G. Palya, Bengaluru, Karnataka 560030",Open - Not Contacted,D
ICONIC FITNESS KORAMANGALA 1st BLOCK - Largest fitness chain in Bangalore | Best Rated | Unisex Fitness Centers | Gx Studios,07026276888,https://iconicfitnessindia.lovable.app/all-club-access?utm_source=Google&utm_medium=GMB&utm_campaign=Iconic-Fitness-Koramangala-1st-block,,"43, 5th A Main Rd, near Wipro Park, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560034",Open - Not Contacted,D
4K Fitness Club,09686333738,,,"2nd Floor, 20, Langford Rd, Akkithimana Halli, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka 560027",Open - Not Contacted,D
Glen's Bakehouse,08041124894,,,"24/1, Lavelle Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",Open - Not Contacted,D
Thom’s Bakery,08867579013,https://thomsonline.in/product-category/bakery/cakes-pastries/,thomsbakeryonline@gmail.com,"26, Promenade Rd, Sindhi Colony, Fraser Town, Bengaluru, Karnataka 560005",Open - Not Contacted,D
"O.G. Variar and Sons, Variar Bakery",08023324808,http://www.ogvariarbakery.com/,ogvariarbakery@gmail.com,"68, 12th Main Road, 2nd Block Behind ESI Hospital, 231, 38th Cross Rd, opp. to Anjaneya Swamy Temple, 2nd Block, Rajajinagar, Bengaluru, Karnataka 560010",Open - Not Contacted,D
Lamara Patisserie,09606020090,http://www.lamara.in/,,"85, Challaghatta, Bengaluru, Karnataka 560037",Open - Not Contacted,D
"Theobroma Bakery and Cake Shop - Vittal Mallya Road, Bengaluru",08182881881,https://order.theobroma.in/order/theobroma-vittal-mallya-road-bengaluru,contact@theobroma.in,"Ground Floor, 36, Vittal Mallya Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",Open - Not Contacted,D
Plum & Sugar Salon & Spa - JP Nagar,09980033108,https://www.plumnsugar.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=7553764222669244926,,"Kalyani Magnum Road, 87, 3rd Main Rd, near M K Ahemad Supermarket, JP Nagar 4th Phase, Dollars Colony, Phase 4, J. P. Nagar, Bengaluru, Karnataka 560078",Open - Not Contacted,D
D5N Malleshwaram,09902984586,http://www.d5ngroup.com/,d5nbeautylounge@gmail.com,"Roopashree Nilayam, 186(83/1), 6th Main Road, 18th Cross Rd, Malleshwaram, Bengaluru, Karnataka 560055",Open - Not Contacted,D
SALON SQUEEZE - THE BEST HAIRSTYLIST IN BANGALORE / THE BEST SALON IN BANGALORE,09986769440,https://salonsqueeze.in/,,"1st Floor, Sophia's Choice Building, 104, St Mark's Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",Open - Not Contacted,D
Vurve Salon | Indira Nagar,06361853851,http://www.vurvesalon.com/,marketing@vurvesalon.com,"1st Floor, Icon Mall, 2981, 12th Main Rd, Indiranagar, Bengaluru, Karnataka 560008",Open - Not Contacted,D
Zill salon - Best hair color in Bangalore | Best Unisex Salon in Bangalore,08861505786,,,"No. 5/13, Jackson Heights, Milton street, Wheeler Rd Ext, Cooke Town, Bengaluru, Karnataka 560005",Open - Not Contacted,D
St Joseph’s School (CBSE),08022226045,https://sjscbse.edu.in/,stjipps@gmail.com,"XHCW+C6X, Grant Rd, KG Halli, D' Souza Layout, Ashok Nagar, Bengaluru, Karnataka 560001",Open - Not Contacted,D
Global Indian International School in Whitefield - CBSE School in Bangalore,18005722810,https://globalindianschool.org/bangalore/whitefield?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_traffic,,"No 5,6,8, Whitefield Sarjapur Main Road, Gunjur Rd, Heggondahalli Village, Heggondanahalli, Karnataka 560087",Open - Not Contacted,D
EuroSchool HSR - ICSE / ISC School,08069832151,https://www.euroschoolindia.com/best-schools-in-bangalore/icse-hsr-layout/?utm_source=google&utm_medium=organic&utm_id=gmb_listing,connect@euroschoolindia.com,"Garden Club, 19th Main, C.A. 13, 25th Cross Rd, HSR Extension, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",Open - Not Contacted,D
